scope,query_id,profile,check_name,status,observed,expected,details
query_profile,Q01_FGFR2_MET_GASTRIC,P00_no_penalty,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q01_FGFR2_MET_GASTRIC,P00_no_penalty,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q01_FGFR2_MET_GASTRIC,P00_no_penalty,p00_penalties_zero,PASS,0.0,0.0,
query_profile,Q01_FGFR2_MET_GASTRIC,P00_no_penalty,final_scores_bounded,PASS,"[0.0802, 0.9381]","[0, 1]",
query_profile,Q01_FGFR2_MET_GASTRIC,P15_weak,penalty_within_profile_cap,PASS,0.15,0 <= penalty <= 0.15,
query_profile,Q01_FGFR2_MET_GASTRIC,P15_weak,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q01_FGFR2_MET_GASTRIC,P15_weak,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q01_FGFR2_MET_GASTRIC,P15_weak,final_scores_bounded,PASS,"[0.0000, 0.8696]","[0, 1]",
query_profile,Q01_FGFR2_MET_GASTRIC,P30_team_baseline,penalty_within_profile_cap,PASS,0.3,0 <= penalty <= 0.3,
query_profile,Q01_FGFR2_MET_GASTRIC,P30_team_baseline,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q01_FGFR2_MET_GASTRIC,P30_team_baseline,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q01_FGFR2_MET_GASTRIC,P30_team_baseline,final_scores_bounded,PASS,"[0.0000, 0.8011]","[0, 1]",
query_profile,Q01_FGFR2_MET_GASTRIC,P45_stress,penalty_within_profile_cap,PASS,0.45,0 <= penalty <= 0.45,
query_profile,Q01_FGFR2_MET_GASTRIC,P45_stress,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q01_FGFR2_MET_GASTRIC,P45_stress,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q01_FGFR2_MET_GASTRIC,P45_stress,final_scores_bounded,PASS,"[0.0000, 0.7325]","[0, 1]",
query,Q02_ERBB2_ESR1_BREAST,,frozen_candidate_count,PASS,73,73,
query,Q02_ERBB2_ESR1_BREAST,,frozen_exclusion_observed_count,PASS,73,73,
query,Q02_ERBB2_ESR1_BREAST,,exclusion_expression_nonconstant,PASS,7.8219353335430775,> 0,
query,Q02_ERBB2_ESR1_BREAST,P30_team_baseline,p30_production_parity,PASS,all compared fields match,exact match,
query,Q02_ERBB2_ESR1_BREAST,P30_team_baseline,repeat_run_determinism,PASS,identical,identical,
query,Q02_ERBB2_ESR1_BREAST,,candidate_sets_same_across_profiles,PASS,True,True,
query,Q02_ERBB2_ESR1_BREAST,,non_penalty_components_fixed,PASS,all non-penalty components match,exact match,
query,Q02_ERBB2_ESR1_BREAST,,penalty_non_decreasing_by_cap,PASS,all candidates monotonic,non-decreasing for every candidate,
query,Q02_ERBB2_ESR1_BREAST,,final_score_non_increasing_by_cap,PASS,all candidates monotonic,non-increasing for every candidate,
query,Q02_ERBB2_ESR1_BREAST,,penalty_profile_ratios,PASS,P30=2*P15 and P45=3*P15 within rounding tolerance,P30=2*P15 and P45=3*P15 within four-decimal rounding,
query_profile,Q02_ERBB2_ESR1_BREAST,P00_no_penalty,penalty_within_profile_cap,PASS,0.0,0 <= penalty <= 0.0,
query_profile,Q02_ERBB2_ESR1_BREAST,P00_no_penalty,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q02_ERBB2_ESR1_BREAST,P00_no_penalty,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q02_ERBB2_ESR1_BREAST,P00_no_penalty,p00_penalties_zero,PASS,0.0,0.0,
query_profile,Q02_ERBB2_ESR1_BREAST,P00_no_penalty,final_scores_bounded,PASS,"[0.0619, 0.9773]","[0, 1]",
query_profile,Q02_ERBB2_ESR1_BREAST,P15_weak,penalty_within_profile_cap,PASS,0.15,0 <= penalty <= 0.15,
query_profile,Q02_ERBB2_ESR1_BREAST,P15_weak,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q02_ERBB2_ESR1_BREAST,P15_weak,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q02_ERBB2_ESR1_BREAST,P15_weak,final_scores_bounded,PASS,"[0.0516, 0.9142]","[0, 1]",
query_profile,Q02_ERBB2_ESR1_BREAST,P30_team_baseline,penalty_within_profile_cap,PASS,0.3,0 <= penalty <= 0.3,
query_profile,Q02_ERBB2_ESR1_BREAST,P30_team_baseline,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q02_ERBB2_ESR1_BREAST,P30_team_baseline,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q02_ERBB2_ESR1_BREAST,P30_team_baseline,final_scores_bounded,PASS,"[0.0000, 0.8899]","[0, 1]",
query_profile,Q02_ERBB2_ESR1_BREAST,P45_stress,penalty_within_profile_cap,PASS,0.45,0 <= penalty <= 0.45,
query_profile,Q02_ERBB2_ESR1_BREAST,P45_stress,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q02_ERBB2_ESR1_BREAST,P45_stress,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q02_ERBB2_ESR1_BREAST,P45_stress,final_scores_bounded,PASS,"[0.0000, 0.8790]","[0, 1]",
query,Q03_CD3E_CD86_BLOOD,,frozen_candidate_count,PASS,239,239,
query,Q03_CD3E_CD86_BLOOD,,frozen_exclusion_observed_count,PASS,239,239,
query,Q03_CD3E_CD86_BLOOD,,exclusion_expression_nonconstant,PASS,6.090141272399008,> 0,
query,Q03_CD3E_CD86_BLOOD,P30_team_baseline,p30_production_parity,PASS,all compared fields match,exact match,
query,Q03_CD3E_CD86_BLOOD,P30_team_baseline,repeat_run_determinism,PASS,identical,identical,
query,Q03_CD3E_CD86_BLOOD,,candidate_sets_same_across_profiles,PASS,True,True,
query,Q03_CD3E_CD86_BLOOD,,non_penalty_components_fixed,PASS,all non-penalty components match,exact match,
query,Q03_CD3E_CD86_BLOOD,,penalty_non_decreasing_by_cap,PASS,all candidates monotonic,non-decreasing for every candidate,
query,Q03_CD3E_CD86_BLOOD,,final_score_non_increasing_by_cap,PASS,all candidates monotonic,non-increasing for every candidate,
query,Q03_CD3E_CD86_BLOOD,,penalty_profile_ratios,PASS,P30=2*P15 and P45=3*P15 within rounding tolerance,P30=2*P15 and P45=3*P15 within four-decimal rounding,
query_profile,Q03_CD3E_CD86_BLOOD,P00_no_penalty,penalty_within_profile_cap,PASS,0.0,0 <= penalty <= 0.0,
query_profile,Q03_CD3E_CD86_BLOOD,P00_no_penalty,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q03_CD3E_CD86_BLOOD,P00_no_penalty,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q03_CD3E_CD86_BLOOD,P00_no_penalty,p00_penalties_zero,PASS,0.0,0.0,
query_profile,Q03_CD3E_CD86_BLOOD,P00_no_penalty,final_scores_bounded,PASS,"[0.0619, 0.9250]","[0, 1]",
query_profile,Q03_CD3E_CD86_BLOOD,P15_weak,penalty_within_profile_cap,PASS,0.15,0 <= penalty <= 0.15,
query_profile,Q03_CD3E_CD86_BLOOD,P15_weak,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q03_CD3E_CD86_BLOOD,P15_weak,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q03_CD3E_CD86_BLOOD,P15_weak,final_scores_bounded,PASS,"[0.0000, 0.9221]","[0, 1]",
query_profile,Q03_CD3E_CD86_BLOOD,P30_team_baseline,penalty_within_profile_cap,PASS,0.3,0 <= penalty <= 0.3,
query_profile,Q03_CD3E_CD86_BLOOD,P30_team_baseline,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q03_CD3E_CD86_BLOOD,P30_team_baseline,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q03_CD3E_CD86_BLOOD,P30_team_baseline,final_scores_bounded,PASS,"[0.0000, 0.9192]","[0, 1]",
query_profile,Q03_CD3E_CD86_BLOOD,P45_stress,penalty_within_profile_cap,PASS,0.45,0 <= penalty <= 0.45,
query_profile,Q03_CD3E_CD86_BLOOD,P45_stress,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q03_CD3E_CD86_BLOOD,P45_stress,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q03_CD3E_CD86_BLOOD,P45_stress,final_scores_bounded,PASS,"[0.0000, 0.9163]","[0, 1]",
query,Q04_ASGR1_AFP_LIVER,,frozen_candidate_count,PASS,25,25,
query,Q04_ASGR1_AFP_LIVER,,frozen_exclusion_observed_count,PASS,25,25,
query,Q04_ASGR1_AFP_LIVER,,exclusion_expression_nonconstant,PASS,11.065388781395963,> 0,
query,Q04_ASGR1_AFP_LIVER,P30_team_baseline,p30_production_parity,PASS,all compared fields match,exact match,
query,Q04_ASGR1_AFP_LIVER,P30_team_baseline,repeat_run_determinism,PASS,identical,identical,
query,Q04_ASGR1_AFP_LIVER,,candidate_sets_same_across_profiles,PASS,True,True,
query,Q04_ASGR1_AFP_LIVER,,non_penalty_components_fixed,PASS,all non-penalty components match,exact match,
query,Q04_ASGR1_AFP_LIVER,,penalty_non_decreasing_by_cap,PASS,all candidates monotonic,non-decreasing for every candidate,
query,Q04_ASGR1_AFP_LIVER,,final_score_non_increasing_by_cap,PASS,all candidates monotonic,non-increasing for every candidate,
query,Q04_ASGR1_AFP_LIVER,,penalty_profile_ratios,PASS,P30=2*P15 and P45=3*P15 within rounding tolerance,P30=2*P15 and P45=3*P15 within four-decimal rounding,
query_profile,Q04_ASGR1_AFP_LIVER,P00_no_penalty,penalty_within_profile_cap,PASS,0.0,0 <= penalty <= 0.0,
query_profile,Q04_ASGR1_AFP_LIVER,P00_no_penalty,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q04_ASGR1_AFP_LIVER,P00_no_penalty,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q04_ASGR1_AFP_LIVER,P00_no_penalty,p00_penalties_zero,PASS,0.0,0.0,
query_profile,Q04_ASGR1_AFP_LIVER,P00_no_penalty,final_scores_bounded,PASS,"[0.0750, 0.8925]","[0, 1]",
query_profile,Q04_ASGR1_AFP_LIVER,P15_weak,penalty_within_profile_cap,PASS,0.15,0 <= penalty <= 0.15,
query_profile,Q04_ASGR1_AFP_LIVER,P15_weak,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q04_ASGR1_AFP_LIVER,P15_weak,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q04_ASGR1_AFP_LIVER,P15_weak,final_scores_bounded,PASS,"[0.0614, 0.7740]","[0, 1]",
query_profile,Q04_ASGR1_AFP_LIVER,P30_team_baseline,penalty_within_profile_cap,PASS,0.3,0 <= penalty <= 0.3,
query_profile,Q04_ASGR1_AFP_LIVER,P30_team_baseline,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q04_ASGR1_AFP_LIVER,P30_team_baseline,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q04_ASGR1_AFP_LIVER,P30_team_baseline,final_scores_bounded,PASS,"[0.0443, 0.7252]","[0, 1]",
query_profile,Q04_ASGR1_AFP_LIVER,P45_stress,penalty_within_profile_cap,PASS,0.45,0 <= penalty <= 0.45,
query_profile,Q04_ASGR1_AFP_LIVER,P45_stress,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q04_ASGR1_AFP_LIVER,P45_stress,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q04_ASGR1_AFP_LIVER,P45_stress,final_scores_bounded,PASS,"[0.0200, 0.6801]","[0, 1]",
query,Q05_MSLN_MUC1_LUNG,,frozen_candidate_count,PASS,236,236,
query,Q05_MSLN_MUC1_LUNG,,frozen_exclusion_observed_count,PASS,236,236,
query,Q05_MSLN_MUC1_LUNG,,exclusion_expression_nonconstant,PASS,4.03279415702084,> 0,
query,Q05_MSLN_MUC1_LUNG,P30_team_baseline,p30_production_parity,PASS,all compared fields match,exact match,
query,Q05_MSLN_MUC1_LUNG,P30_team_baseline,repeat_run_determinism,PASS,identical,identical,
query,Q05_MSLN_MUC1_LUNG,,candidate_sets_same_across_profiles,PASS,True,True,
query,Q05_MSLN_MUC1_LUNG,,non_penalty_components_fixed,PASS,all non-penalty components match,exact match,
query,Q05_MSLN_MUC1_LUNG,,penalty_non_decreasing_by_cap,PASS,all candidates monotonic,non-decreasing for every candidate,
query,Q05_MSLN_MUC1_LUNG,,final_score_non_increasing_by_cap,PASS,all candidates monotonic,non-increasing for every candidate,
query,Q05_MSLN_MUC1_LUNG,,penalty_profile_ratios,PASS,P30=2*P15 and P45=3*P15 within rounding tolerance,P30=2*P15 and P45=3*P15 within four-decimal rounding,
query_profile,Q05_MSLN_MUC1_LUNG,P00_no_penalty,penalty_within_profile_cap,PASS,0.0,0 <= penalty <= 0.0,
query_profile,Q05_MSLN_MUC1_LUNG,P00_no_penalty,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q05_MSLN_MUC1_LUNG,P00_no_penalty,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q05_MSLN_MUC1_LUNG,P00_no_penalty,p00_penalties_zero,PASS,0.0,0.0,
query_profile,Q05_MSLN_MUC1_LUNG,P00_no_penalty,final_scores_bounded,PASS,"[0.0619, 0.9119]","[0, 1]",
query_profile,Q05_MSLN_MUC1_LUNG,P15_weak,penalty_within_profile_cap,PASS,0.15,0 <= penalty <= 0.15,
query_profile,Q05_MSLN_MUC1_LUNG,P15_weak,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q05_MSLN_MUC1_LUNG,P15_weak,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q05_MSLN_MUC1_LUNG,P15_weak,final_scores_bounded,PASS,"[0.0000, 0.8532]","[0, 1]",
query_profile,Q05_MSLN_MUC1_LUNG,P30_team_baseline,penalty_within_profile_cap,PASS,0.3,0 <= penalty <= 0.3,
query_profile,Q05_MSLN_MUC1_LUNG,P30_team_baseline,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q05_MSLN_MUC1_LUNG,P30_team_baseline,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q05_MSLN_MUC1_LUNG,P30_team_baseline,final_scores_bounded,PASS,"[0.0000, 0.8090]","[0, 1]",
query_profile,Q05_MSLN_MUC1_LUNG,P45_stress,penalty_within_profile_cap,PASS,0.45,0 <= penalty <= 0.45,
query_profile,Q05_MSLN_MUC1_LUNG,P45_stress,penalty_equals_cap_times_scaled_exclusion,PASS,"all rows equal round(cap * scaled exclusion, 4)",exact equality after four-decimal rounding,
query_profile,Q05_MSLN_MUC1_LUNG,P45_stress,realised_score_drop_matches_penalty_or_clipping,PASS,unclipped rows lose the reported penalty; clipped rows lose no more,drop equals penalty unless the lower bound clips at zero,
query_profile,Q05_MSLN_MUC1_LUNG,P45_stress,final_scores_bounded,PASS,"[0.0000, 0.7971]","[0, 1]",
global,,,production_cap_restored_after_real_queries,PASS,0.3,0.3,
global,,,all_input_and_cache_hashes_unchanged,PASS,True,True,"Includes production script, team loader/merger, sample info, frozen designs, query table, and all target/exclusion caches."
